train_id,station
1514,Erps-Kwerps
1538,Schaarbeek
1539,Alken
1537,Aalter
1514,Veltem
1514,Herent
1537,Maria-Aalter
1538,Brussel-Noord
1513,Kiewit
1537,Beernem
1515,Gent-Sint-Pieters
1514,Leuven
1538,Brussel-Congres
1537,Oostkamp
1539,Sint-Truiden
1513,Bokrijk
1538,Brussel-Centraal
1538,Brussel-Kapellekerk
1514,Vertrijk
1538,Brussel-Zuid
1537,Brugge
1539,Landen
1516,Blankenberge
1514,Tienen
1537,Brugge-Sint-Pieters
1538,Anderlecht
1539,Neerwinden
1539,Ezemaal
1514,Ezemaal
1516,Brugge-Sint-Pieters
1514,Neerwinden
1515,Anderlecht
1539,Tienen
1514,Landen
1540,Genk
1516,Brugge
1539,Vertrijk
1515,Brussel-Zuid
1540,Bokrijk
1516,Oostkamp
1515,Brussel-Kapellekerk
1514,Sint-Truiden
1515,Brussel-Centraal
1516,Beernem
1540,Kiewit
1515,Brussel-Congres
1516,Maria-Aalter
1539,Leuven
1515,Brussel-Noord
1538,Gent-Sint-Pieters
1539,Herent
1516,Aalter
1514,Alken
1538,Drongen
1539,Veltem
1515,Schaarbeek
1516,Bellem
1539,Erps-Kwerps
1538,Landegem
1515,Haren-Zuid
1540,Hasselt
1516,Hansbeke
1539,Kortenberg
1539,Nossegem
1515,Diegem
1539,Zaventem
1516,Landegem
1538,Hansbeke
1515,Zaventem
1539,Diegem
1538,Bellem
1515,Nossegem
1539,Haren-Zuid
1516,Drongen
1515,Kortenberg
1514,Hasselt
1515,Erps-Kwerps
1538,Aalter
1539,Schaarbeek
1540,Alken
1515,Veltem
1515,Herent
1538,Maria-Aalter
1514,Kiewit
1539,Brussel-Noord
1538,Beernem
1516,Gent-Sint-Pieters
1539,Brussel-Congres
1515,Leuven
1540,Sint-Truiden
1538,Oostkamp
1514,Bokrijk
1539,Brussel-Centraal
1539,Brussel-Kapellekerk
1515,Vertrijk
1539,Brussel-Zuid
1538,Brugge
1517,Blankenberge
1540,Landen
1515,Tienen
1539,Anderlecht
1538,Brugge-Sint-Pieters
1540,Neerwinden
1540,Ezemaal
1515,Ezemaal
1515,Neerwinden
1517,Brugge-Sint-Pieters
1516,Anderlecht
1541,Genk
1515,Landen
1540,Tienen
1517,Brugge
1541,Bokrijk
1540,Vertrijk
1516,Brussel-Zuid
1517,Oostkamp
1516,Brussel-Kapellekerk
1515,Sint-Truiden
1541,Kiewit
1517,Beernem
1516,Brussel-Centraal
1516,Brussel-Congres
1517,Maria-Aalter
1540,Leuven
1539,Gent-Sint-Pieters
1516,Brussel-Noord
1517,Aalter
1515,Alken
1540,Herent
1540,Veltem
1516,Schaarbeek
1539,Drongen
1517,Bellem
1540,Erps-Kwerps
1541,Hasselt
1540,Kortenberg
1517,Hansbeke
1516,Haren-Zuid
1516,Diegem
1539,Landegem
1540,Nossegem
1540,Zaventem
1539,Hansbeke
1516,Zaventem
1516,Nossegem
1517,Landegem
1539,Bellem
1540,Diegem
1540,Haren-Zuid
1516,Kortenberg
1517,Drongen
1515,Hasselt
1516,Erps-Kwerps
1540,Schaarbeek
1539,Aalter
1541,Alken
1516,Veltem
1516,Herent
1539,Maria-Aalter
1540,Brussel-Noord
1515,Kiewit
1517,Gent-Sint-Pieters
1539,Beernem
1540,Brussel-Congres
1516,Leuven
1541,Sint-Truiden
1539,Oostkamp
1540,Brussel-Centraal
1515,Bokrijk
1540,Brussel-Kapellekerk
1516,Vertrijk
1540,Brussel-Zuid
1539,Brugge
1518,Blankenberge
1541,Landen
1516,Tienen
1539,Brugge-Sint-Pieters
1540,Anderlecht
1541,Neerwinden
1541,Ezemaal
1516,Ezemaal
1516,Neerwinden
1518,Brugge-Sint-Pieters
1517,Anderlecht
1516,Landen
1541,Tienen
1542,Genk
1518,Brugge
1541,Vertrijk
1517,Brussel-Zuid
1517,Brussel-Kapellekerk
1518,Oostkamp
1542,Bokrijk
1516,Sint-Truiden
1517,Brussel-Centraal
1518,Beernem
1517,Brussel-Congres
1518,Maria-Aalter
1542,Kiewit
1541,Leuven
1517,Brussel-Noord
1540,Gent-Sint-Pieters
1541,Herent
1516,Alken
1518,Aalter
1541,Veltem
1540,Drongen
1517,Schaarbeek
1518,Bellem
1541,Erps-Kwerps
1517,Haren-Zuid
1542,Hasselt
1540,Landegem
1541,Kortenberg
1518,Hansbeke
1541,Nossegem
1517,Diegem
1518,Landegem
1540,Hansbeke
1541,Zaventem
1517,Zaventem
1541,Diegem
1540,Bellem
1517,Nossegem
1518,Drongen
1541,Haren-Zuid
1517,Kortenberg
1517,Erps-Kwerps
1517,Veltem
1541,Schaarbeek
1540,Aalter
1542,Alken
1517,Herent
1540,Maria-Aalter
1540,Beernem
1516,Hasselt
1518,Gent-Sint-Pieters
1541,Brussel-Noord
1517,Leuven
1541,Brussel-Congres
1542,Sint-Truiden
1540,Oostkamp
1541,Brussel-Centraal
1516,Kiewit
1541,Brussel-Kapellekerk
1517,Vertrijk
1516,Bokrijk
1541,Brussel-Zuid
1540,Brugge
1542,Landen
1519,Blankenberge
1517,Tienen
1541,Anderlecht
1540,Brugge-Sint-Pieters
1542,Neerwinden
1542,Ezemaal
1517,Ezemaal
1517,Neerwinden
1519,Brugge-Sint-Pieters
1518,Anderlecht
1517,Landen
1542,Tienen
1543,Genk
1519,Brugge
1542,Vertrijk
1518,Brussel-Zuid
1519,Oostkamp
1518,Brussel-Kapellekerk
1543,Bokrijk
1517,Sint-Truiden
