station,arrival_delay,departure_delay,min_arrival_delay,min_departure_delay,max_arrival_delay,max_departure_delay
Fexhe-le-Haut-Clocher,2.4352051519734595,2.9957317469605357,-3,-2,169,169
Flawinne,1.7600875618042704,2.0607551602925925,-3,-3,87,87
Flémalle-Annexe,1.8148686649197929,1.8142008052661852,-1,-1,72,72
Flémalle-Grande,2.6759856995780018,3.0203694280480358,-7,-7,150,150
Flémalle-Haute,2.6658045748691192,2.6253269222324683,-8,-3,150,150
Fleurus,0.71574512402953986,1.3888653302492932,-3,0,53,106
Florée,1.6579730687455705,1.6579730687455705,-8,-8,52,52
Floreffe,1.7187024300779459,2.1904697839158727,-3,-3,87,87
Florenville,1.9270972611602329,2.3640175646978368,-1,-5,134,144
Florival,0.923419832080709595,1.6762079849568517,-15,-20,77,77
Fontaine-Valmont,1.5502420962688693,3.373210401891253,-2,0,63,69
Forchies,1.6838521868309521,2.0121381733276598,-11,-11,231,82
Forrières,1.9543886489080874,2.9004875568317779,-1,0,54,57
Fraipont,2.2077989301106707,2.6633670535849383,-5,-3,132,132
Frameries,1.056474019088017,2.1927679921246001,-1,0,75,75
Franchimont,0.59985007496251874,1.8062407132243685,0,0,25,26
Franière,1.9347949677230047,2.2647557423892735,-2,-2,87,87
Froyennes,1.994187187723055,2.6583594740706134,-3,-10,64,64
Galmaarden,2.2992957746478873,3.2197184843753872,-1,0,89,91
Gastuche,0.92828748501274971667,1.6144483083022545,-17,-17,340,340
Gavere-Asper,1.6358166487903706,2.2446626789274767,-1,0,118,118
Gedinne,2.4005029847446385,2.6798859455481972,-2,-7,87,89
Gedinne-Marchandises,2.297249621338062,2.297249621338062,-7,-7,93,93
Geel,3.0898720789685737,3.4042417057626663,-1,-2,109,110
Gembloux,1.9125336180984022,2.7174096011733514,-3,-1,142,143
Gendron-Celles,1.312829872994144,2.2450811243144424,-3,-2,90,90
Genk,5.6556490047659097,0.84430282292557741667,-6,0,103,45
Genly,1.2724520383693046,2.3270173592845871,-1,0,87,76
Gentbrugge,2.3508913460830942,2.7043481603294294,-6,-6,164,164
Gentbrugge-Perron C.W.,2.5951452468626544,2.5951646980703061,-4,-4,164,164
