station,avg_delay
Saint-Ghislain,2.6560414326306747
's-Gravenbrakel,2.6581629617878602
Zaventem,2.6588718350951625
Antwerpen-Noorderdokken,2.6610680499244773
Buizingen,2.6614814404022479
Schelle,2.6633159213487918
Flémalle-Haute,2.6658045748691192
Sint-Niklaas,2.6688108721583342
Java,2.6695835004232946
Bissegem,2.6698130493286381
Beverlo,2.6699314505938843
Lier,2.6737146699325217
Erembodegem,2.6751054646143823
Flémalle-Grande,2.6759856995780018
Mechelen,2.6791825821237586
Ieper,2.680828038413555
Anderlecht,2.6812408644918496
Opwijk,2.6859025160271898
Nijlen,2.6864697013525478
Jette,2.6899145349253809
Olen,2.6920181760150515
Sint-Katelijne-Waver,2.6930487672423156
Landskouter,2.6966316183749365
Namêche,2.6991497052608164
Sclessin,2.7033064570770377
Ninove,2.7056939085700924
Zele,2.7079362887262349
Brussel-Noord,2.7082403149803707
Hermalle-sous-Huy,2.7136793019471655
Holleken,2.7139338873162268
Gent-Dampoort,2.7156603924870207
Courcelles-Motte,2.71745553643144
Ampsin,2.7207254141467263
Menen,2.7241980112408128
Zolder-Kruissporen,2.724546636231057
Ernage,2.735117864402592
Angleur,2.7373333659866611
Groenendaal,2.7374137596386286
Bomal,2.7408098438492661
Veltem,2.7410217407658166
Erbisoeul,2.7476253779585028
Herentals,2.752212577210628
Tilleur,2.7532610904165256
De Pinte,2.7555796662629525
Deinze,2.760894131125345
Haaltert,2.7674962754070448
Balen,2.7691276115189159
Harelbeke,2.7746807314745827
Denderleeuw,2.7773567817304275
Haren-Zuid,2.779155589445555
Merchtem,2.7794464454163451
Serskamp,2.7814400397840296
Brussel-Congres,2.7819512572287526
Brugelette,2.7980182969347056
Diegem,2.8005607648464791
Appelterre,2.8007732561538911
Mortsel-Deurnesteenweg,2.8042746522879101
Maffle,2.8121747134131035
Brussel-Zuid,2.8133994188607013
Wervik,2.8185022026431718
Sint-Genesius-Rode,2.8193783008351456
Lede,2.8287520217927982
Mévergnies-Attre,2.8314143865227457
Bosvoorde,2.8374129853630132
Watermaal,2.8382862488637066
Zottegem,2.8433259151603234
Brussel-Kapellekerk,2.8468639037874319
Kortenberg,2.8490928660675307
Mechelen-Nekkerspoel,2.8565574868548846
Scheldewindeke,2.8574386891895498
Aat,2.8613014146906308
Jurbeke,2.8624604538072305
De Hoek,2.871058074198803
Zonhoven,2.8743783219438117
Komen,2.8744071260001151
Edingen,2.8744845449096669
Idegem,2.8767362329007366
Wolfstee,2.8797495557481376
Roux,2.8882428896081537
Dilbeek,2.8934023394765632
Asse,2.8937885802469136
Herent,2.9114837609305767
Sleidinge,2.9141589219330855
Wevelgem,2.9207393375810803
Nossegem,2.9209855626250428
Dendermonde,2.9249763917618491
Court-Saint-Etienne,2.9349790715372907
Waterloo,2.9434243910174309
Brussel-West,2.9518162107576703
Leuven,2.9624573559897491
Brussel-Centraal,2.9657778471519997
Antwerpen-Centraal,2.9670468284165967
Eigenbrakel,2.9671156609195402
Bleret,2.9681558657036892
Opzullik,2.9708390931711363
Verviers-Centraal,2.9718658026191441
Leopoldsburg,2.9746458254627881
Deinze-Wijksporen,2.9884554982907318
Aalst,2.9994470383311174
Ternat,3.001193143333507
Hoeilaart,3.0036841224104964
Tilff,3.0087275283719996
Gent-Sint-Pieters,3.0149345228580056
Poulseur,3.0200267737617135
Thurn en Taxis,3.0240890748323542
Borgworm,3.0445615073493144
Méry,3.0455936966777075
Esneux,3.0501138113409654
Anseremme,3.0503272450532725
Ghlin,3.0663962443075833
Jemappes,3.0834310659369299
Luik-Guillemins,3.0838432016895792
Geel,3.0898720789685737
Kortrijk,3.1008922701230394
Lessen,3.1102813852813853
Mol,3.1267450380706617
Poperinge,3.1395852228066993
Neerpelt,3.1433443738250828
Dolhain-Gileppe,3.1672519338861372
Ronet-Vorming,3.1698826291079812
Vertrijk,3.1740244225077302
Hony,3.1860940798070158
Rivage-Marchandises,3.1901423273529117
Beringen,3.1972497459349594
Cambron-Casteau,3.2086011631466177
Rebaix,3.211120434077306
Marcinelle,3.2254948535233571
Verviers-Paleis,3.2359767622859684
Tielt,3.2472381617038875
Geraardsbergen,3.2541142068069206
Neerwinden,3.2768121500028866
Rivage,3.2805362001459951
Obaix-Buzet,3.2806162598060712
Balen-Werkplaatsen,3.2955813613789074
Houraing,3.2967310653786924
Labuissière,3.3079642248722317
Sy,3.3087586891757696
Bokrijk,3.3129399233063485
