station,avg_delay
Zaventem,2.8075777791614409
Veltem,2.8077623119899447
Engis,2.8089168084456659
Beernem,2.8107027272985809
Sinaai,2.8109589762657247
Zinnik,2.8114896653483787
Koksijde,2.8134921336397384
Antwerpen-Luchtbal,2.815328734457503
Kessel,2.8189253154146324
Haaltert,2.8208286793255678
Brussel-Congres,2.8233927452846169
Scheldewindeke,2.8236196728311051
Tielen,2.8253695060287826
Saint-Denis-Bovesse,2.8268203689767622
Luttre,2.8270039804041641
Leman,2.8315829657278588
Dilbeek,2.8331305159538357
Edingen,2.8394480546953005
Mortsel-Deurnesteenweg,2.8436703642149474
Halle,2.8438143858480151
Sint-Katelijne-Waver,2.8512836879432624
Herseaux,2.8622877777777778
Diest,2.8626952086254412
Bockstael,2.863336760757624
Ruisbroek,2.8669245688162361
Brussel-Kapellekerk,2.8673138878812842
Nijvel,2.8675379009219582
Groot-Bijgaarden,2.8684048410380367
Lier,2.8691538290766588
Anseremme,2.8709019518145776
Watermaal,2.8764930904855191
Ukkel-Stalle,2.8835686525731369
Grupont,2.8885425968923022
Statte,2.8888833283288293
Namêche,2.8895986800439985
Mortsel-Oude God,2.8900523678098804
Bas-Oha,2.8935895720434424
Jette,2.8936098720221283
Sint-Agatha-Berchem,2.8948457676355515
Haute-Flône,2.8956283794854989
Holleken,2.8967981254944921
Asse,2.8977245938879602
Forrières,2.9004875568317779
Amay,2.9111116557200274
Andenne,2.9145027223635471
Ans,2.9145375040240369
Ieper,2.9165741864632102
Roux,2.920591038537504
Poix-Saint-Hubert,2.9224503825920612
Noorderkempen,2.9285677285677286
Hoei,2.9290803994268902
Haren-Zuid,2.9344770501814988
Herent,2.9359287031863054
Diegem,2.938649774744676
Mortsel-Liersesteenweg,2.9387926416926116
Kortenberg,2.948786229108269
Evergem,2.9531431933605847
Lokeren,2.9568583235896389
Brussel-West,2.9577861051629788
Herne,2.9601843603068547
Wolfstee,2.9691339864989099
Zellik,2.9694100825755872
Sclessin,2.969731606416196
Welkenraedt,2.973709785911442
Waterloo,2.9765642765450211
Brussel-Zuid,2.9782536813332158
Ekeren,2.9868284686971235
Bomal,2.9888989898989899
Pont-de-Seraing,2.9916536925472145
Deinze-Wijksporen,2.9932058757179794
Fexhe-le-Haut-Clocher,2.9957317469605357
Ampsin,2.997434508568052
Waregem,2.9995309201782503
Jemeppe-sur-Meuse,3.0000542888165038
Lebbeke,3.0071886697341184
Harelbeke,3.014005141656553
Marche-en-Famenne,3.014347516286645
Erbisoeul,3.0159290744676418
Angleur,3.0194265285514186
Flémalle-Grande,3.0203694280480358
Sleidinge,3.0211549775507044
Courcelles-Motte,3.021724375538329
Heizijde,3.0234847996562466
De Hoek,3.0249380121234275
Menen,3.0273890175227968
Momalle,3.0439782003030451
Aat,3.0517869207885847
Heusden,3.0606556331515673
Waarschoot,3.0774096105586021
Nossegem,3.0784339335417098
Melreux-Hotton,3.0913003663003663
Sint-Genesius-Rode,3.0993045423596926
De Pinte,3.0995521697125835
Iddergem,3.1008877208351584
Mollem,3.115494311809005
Court-Saint-Etienne,3.118337450905866
Gent-Dampoort,3.1211983575573657
Lillois,3.1251256021918873
Bissegem,3.1276351081435827
Verviers-Centraal,3.1421547724407971
Beringen,3.1468296580377117
Mechelen-Nekkerspoel,3.1632202032337188
Ronet-Vorming,3.1698826291079812
Rivage-Marchandises,3.1729012098121783
Zonhoven,3.1739660876757651
Lede,3.1910837257314159
Hoeilaart,3.1911742424242424
Sint-Martens-Bodegem,3.1919835793079132
Remicourt,3.196497502270663
Okegem,3.1969381202568593
Balegem-Zuid,3.1975060048038431
Leuze,3.199231442747349
Eichem,3.2054922748912059
Dolhain-Gileppe,3.2065915414579855
Lessen,3.2090469360780674
Tollembeek,3.2174002325638932
Galmaarden,3.2197184843753872
Neerwinden,3.2201316744170707
Jemappes,3.2202749308605824
Groenendaal,3.2321709523683677
Balegem-Dorp,3.2338279725141039
Bleret,3.2349442741032754
Verviers-Paleis,3.2380772366763027
Balen-Werkplaatsen,3.2387661787477722
Marcinelle,3.239944576405384
Schendelbeke,3.242865686446117
Serskamp,3.2494988587873375
Herentals,3.2504341339439833
Deinze,3.2555718475073314
Ghlin,3.2636976889444097
Bosvoorde,3.2730035594086448
Leopoldsburg,3.2877906608376101
Eigenbrakel,3.3140195310840419
Charleroi-Faisceau A,3.3244103773584906
Simonis,3.3361640235078704
Zolder,3.3389373323112304
Jurbeke,3.34160000374248
Barvaux,3.3440364953619067
Landskouter,3.3440733333333333
Wervik,3.3508774943456727
Gontrode,3.3703641411714454
Fontaine-Valmont,3.373210401891253
Tienen,3.3786731923584647
Kapellen,3.4001314544116101
Geel,3.4042417057626663
Komen,3.406591943657133
Labuissière,3.4164822695035461
Aarsele,3.4270982281628847
Rivage,3.4409223381354529
Acren,3.4520390296252365
Quaregnon,3.4631322641386923
Solre-sur-Sambre,3.465612293144208
Olen,3.4949472020446597
Brussel-Centraal,3.5099511890822374
Oostende-T.W.,3.5208333333333333
Obaix-Buzet,3.5249583470149708
Zele,3.5272859732452215
Erquelinnes-Dorp,3.5360109754943703
Mévergnies-Attre,3.5370478494175216
Beverlo,3.5420658966104904
Boussu,3.5468726968174204
Maffle,3.5622134001950132
Hainin,3.5828521785618819
Kortrijk-Goederen,3.6
Balen,3.6043000686513137
Tielt,3.6043578454091354
Brugelette,3.6140797143893119
Oostende-Zeehaven,3.6166666666666667
Wevelgem,3.6405929158110883
Borgworm,3.6582128202063663
Liège-Guillemins-Faisceau,3.6635802469135802
Mol,3.6801613337770805
Vertrijk,3.6974517974666799
Poulseur,3.7082824847454236
Neerpelt,3.7264146159582401
Muizen-Goederen,3.7388888888888889
Esneux,3.7518010348856618
Ezemaal,3.7531292803274089
Thurn en Taxis,3.7756473780451837
Oostende-Perron T.O.P.,3.7956589147286822
Tilff,3.7961980105481007
Kiewit,3.8222527937690484
Méry,3.8337255883825739
Hony,3.8717537014805922
Landen,3.9101646572723629
Hasselt-Aflos L.35/1,3.9621212121212121
Opzullik,3.9938888122499655
Lens,4.0351731421266189
Idegem,4.0402868984035257
Zandbergen,4.0500656512605042
Appelterre,4.0840231594913079
Bokrijk,4.1980523329663816
Sy,4.3005788067675868
Hamoir,4.3398287467828153
Comblain-la-Tour,4.3676161696225107
Lommel,4.3852750951126719
Cambron-Casteau,4.4946066131370581
Overpelt,4.4967767846711064
Alken,4.5760837542087542
Sint-Truiden,4.7746961882743494
Rebaix,4.8346709111725447
Papegem,5.0345731758398258
Houraing,5.1006324342435919
Schaarbeek-Sas K/C,5.3392592592592593
Châtelet-Formation,5.8459259259259259
Jemeppe-Froidmont,6.81875
Chapelle-Dieu,6.84375
Gent-Zeehaven,7.0367521367521368
Mazy,7.275
Melle-T.W.,7.8344444444444444
Machelen,7.8865907653383934
Schaarbeek-Perron P.C.I.,7.9934697855750487
Montzen-Est,8.8811594202898551
Kinkempois-Formation,10.3194496560350219
Antwerpen-Dam,10.8286069651741294
Antwerpen-Oost,11.1692592592592593
Schaarbeek-P.C.I.,11.5753968253968254
Hasselt-Afwisseling,11.7635802469135802
Aalst-Oost,13.5666666666666667
Merelbeke-Sas T.W.,18.0083333333333333
Charleroi-A.T.,
