station,num_trains,avg_arrival_delay,avg_departure_delay
Leman,116,2.5509989699007256,2.8315829657278588
Lembeek,220,2.2792710980835946,2.6316346504146367
Lens,86,3.3705831521436138,4.0351731421266189
Leopoldsburg,37,2.9746458254627881,3.2877906608376101
Lessen,37,3.1102813852813853,3.2090469360780674
Leuven,730,2.9624573559897491,2.5795292210004224
Leuze,84,2.481961741961742,3.199231442747349
Leval,40,1.0994116582186821,2.143729744328412
Libramont,128,1.8604524089306698,1.3294400081900082
Lichtervelde,254,2.4662669144835182,2.6388151179680446
Liedekerke,457,2.5041172303519744,2.6168309121286778
Liège-Guillemins-Faisceau,27,9.5166666666666667,3.6635802469135802
Lier,280,2.6737146699325217,2.8691538290766588
Lierde,38,1.458526932418917,2.4270303445519683
Liers,232,0.38544603743528474667,0.92418834402262677833
Liers-Faisceau,116,0.05317669029651650333,-0.16148156534208838
Ligny,76,0.60147784034870032833,1.7201374996030612
Lillois,253,2.6006349032426937,3.1251256021918873
Limal,180,1.223794136760777,1.8935365853658537
Linkebeek,253,2.1764177912689415,2.6800304822399883
Lissewege,28,0.925235552763819095,1.770157422852377
Lobbes,15,1.5137755587256301,1.7621855121997532
Lobbes-Garage,15,1.2007599506032108,1.2188698955365622
Lodelinsart,75,0.13612517976614769,1.5183520950594121
Lokeren,251,2.6162613328348444,2.9568583235896389
Lokeren-Oost,213,2.252970426102503,2.2513595306825589
Lommel,35,3.6274686210831212,4.3852750951126719
Londerzeel,161,2.1055309130064446,1.3299740728215534
Lonzée,103,2.2681847268405837,2.6284570272309486
Lot,303,2.3713117029101153,2.7077872336493504
Louvain-la-Neuve,140,2.2234642462727775,0.900040830740029575
Luik-Carré,244,2.0454163872000692,2.4317487771165016
Luik-Guillemins,413,3.0838432016895792,2.7286560615658947
Luik-Sint-Lambertus,244,2.393710906269106,2.4731993712462462
Lustin,67,1.4180463658524452,1.9002229106226746
Luttre,232,2.1179405455102666,2.8270039804041641
Machelen,262,7.8865907653383934,7.8865907653383934
Maffle,86,2.8121747134131035,3.5622134001950132
Malderen,161,2.2541309523809524,2.7247107359635812
Manage,130,1.8495643722447846,0.89069864009135264167
Marbehan,31,1.0554545454545455,1.085106103286385
Marche-en-Famenne,35,2.4539663951120163,3.014347516286645
Marche-les-Dames,105,2.3785881986402733,2.69411178644581
Marche-les-Dames-Marchandises,105,2.5157306057976818,2.5157484037464682
Marche-lez-Ecaussinnes,78,1.6541578854935019,1.9760780287474333
Marchienne-au-Pont,269,1.9962124770724288,2.5274302304845972
Marchienne-Zone,15,1.398241110477277,1.8763979872780784
Marcinelle,92,3.2254948535233571,3.239944576405384
Maria-Aalter,209,2.4981899846768176,2.6471874003734572
Mariembourg,30,1.533349847246305,1.3898476947272577
Marloie,99,1.367384295744376,1.6222635747685848
Masnuy-Saint-Pierre,139,2.2613551099216678,2.586994981868796
Maubray,109,2.1341529061515561,2.1377525055823856
Mazy,9,7.275,7.275
Mechelen,643,2.6791825821237586,2.6555558856651331
Mechelen-Nekkerspoel,411,2.8565574868548846,3.1632202032337188
Meiser,246,1.8306350868325089,2.1652229953850591
Melkouwen,171,1.8425349492372296,2.2995398089171975
Melle,421,2.3996428448186618,2.6305692698982645
Melle-T.W.,21,6.8564102564102564,7.8344444444444444
Melreux-Hotton,35,1.9494200834265948,3.0913003663003663
Melsele,208,2.2257599429871447,2.5449758602978942
Menen,37,2.7241980112408128,3.0273890175227968
Merchtem,147,2.7794464454163451,2.7860107761852733
Merelbeke,421,2.6177409864127528,2.7852267743044442
Merelbeke-Centraal,172,-0.34577546296296296333,-0.69301513387660069833
Merelbeke-Sas T.W.,10,18.0083333333333333,18.0083333333333333
Mérode,96,2.0984929139301763,2.731151176686891
Méry,35,3.0455936966777075,3.8337255883825739
Messancy,33,1.5078701155751238,1.9886127103631532
