route,train,departure
L B20-2,6458,2023-01-02 07:55:00.000000 +00:00
IC 14,1731,2023-01-02 07:56:00.000000 +00:00
L 03,2479,2023-01-02 07:56:00.000000 +00:00
L S63-2,19831,2023-01-02 07:56:00.000000 +00:00
L 13-2,5958,2023-01-02 07:57:00.000000 +00:00
IC 32,808,2023-01-02 07:58:00.000000 +00:00
IC 13,5130,2023-01-02 08:03:00.000000 +00:00
IC 18,2409,2023-01-02 08:03:00.000000 +00:00
L A5,6779,2023-01-02 08:03:00.000000 +00:00
L 31,4059,2023-01-02 08:04:00.000000 +00:00
L 08,6259,2023-01-02 08:05:00.000000 +00:00
L C4,3930,2023-01-02 08:07:00.000000 +00:00
L 37-1,4430,2023-01-02 08:08:00.000000 +00:00
L 01,4980,2023-01-02 08:10:00.000000 +00:00
L 19,4359,2023-01-02 08:10:00.000000 +00:00
L B9,3281,2023-01-02 08:12:00.000000 +00:00
IC 14,1709,2023-01-02 08:13:00.000000 +00:00
L 03,2459,2023-01-02 08:13:00.000000 +00:00
L B5-2,3559,2023-01-02 08:14:00.000000 +00:00
IC 32,830,2023-01-02 08:16:00.000000 +00:00
IC 15,4909,2023-01-02 08:17:00.000000 +00:00
IC 12,409,2023-01-02 08:18:00.000000 +00:00
L A4-2,2659,2023-01-02 08:19:00.000000 +00:00
IC 18,2431,2023-01-02 08:20:00.000000 +00:00
L C4,3909,2023-01-02 08:21:00.000000 +00:00
L 19,4379,2023-01-02 08:23:00.000000 +00:00
IC 26,3232,2023-01-02 08:24:00.000000 +00:00
L A3,2959,2023-01-02 08:24:00.000000 +00:00
L S63-2,19830,2023-01-02 08:24:00.000000 +00:00
IC 05,4509,2023-01-02 08:24:00.000000 +00:00
L 16,5759,2023-01-02 08:25:00.000000 +00:00
L B20-2,6480,2023-01-02 08:25:00.000000 +00:00
L 10-1,6159,2023-01-02 08:26:00.000000 +00:00
L B8-1,3959,2023-01-02 08:27:00.000000 +00:00
L 36,1680,2023-01-02 08:27:00.000000 +00:00
L 01,4959,2023-01-02 08:28:00.000000 +00:00
L 10-2,959,2023-01-02 08:28:00.000000 +00:00
L B7,3459,2023-01-02 08:34:00.000000 +00:00
L 31,4079,2023-01-02 08:34:00.000000 +00:00
