avg_departure_delay_s,sum_departure_delay_s,avg_arrival_delay_s,sum_arrival_delay_s,arrival_count,departure_count,avg_time_saving_s,sum_time_saving_s,station
177.4671663097787295,1989052,177.1089726454602156,1987694,11223,11208,-0.03018596711885724553,-336,223
58.5238095238095238,3687,-58.5396825396825397,-3688,63,63,0,0,225
161.231308679823721,12621993,142.0431200745915982,11120982,78293,78285,-19.173827923750644,-1488656,227
141.8929437774434243,9242055,134.4275204275972231,8752307,65108,65134,-7.4900009215740485,-487644,229
163.9501924813459436,3449676,134.9420358825488983,2835537,21013,21041,-29.0695072601761485,-610605,231
162.8996019583096404,11745550,159.6888864241348713,11518040,72128,72103,-3.164474961853239,-228127,232
111.3161668269651132,1273123,111.3161668269651132,1273123,11437,11437,0,0,233
130.7596903363587827,4898258,120.6807748830995324,4516478,37425,37460,-10.3408663406244962,-384825,235
155.9318899258852594,4544479,155.9318899258852594,4544479,29144,29144,0,0,236
173.6907460581330915,3447935,124.6130467762326169,2464223,19775,19851,-49.4253292806484296,-975656,243
125.860330836454432,2419539,125.6967852684144819,2416395,19224,19224,-0.16354556803995006242,-3144,246
269.6763967882234861,3224251,192.5160697887970615,2306150,11979,11956,-76.5929774574708791,-913984,247
152.4603227232537577,1379461,103.5539193976970771,935299,9032,9048,-48.9433710859427049,-440784,249
109.4583933010597933,3346362,89.2896547205660748,2725656,30526,30572,-20.255217377059922,-618250,250
164.9690143522478852,1735639,104.6938541068351522,1093632,10446,10521,-60.6188606988989947,-633164,252
410.625,6570,410.625,6570,16,16,0,0,255
124.5862658011615989,729328,51.2530367835757057,299574,5845,5854,-73.2185680027406646,-427450,257
74.332532667179093,773653,58.8484389782403027,622028,10570,10408,-14.5114607614607615,-149410,258
117.4764534489768261,6934870,126.3579353593825374,7596260,60117,59032,-11.0063074366713012,-324565,259
150.1273919623339499,4464038,131.3511203822084651,3904018,29722,29735,-18.7287484844402533,-556094,261
160.5957980663075842,4800369,151.8132081147020487,4542403,29921,29891,-8.5743641231593039,-256202,262
128.8242131664823755,4776673,108.1528643514395963,4008037,37059,37079,-20.7965248457291328,-768390,263
350.7555555555555556,15784,350.7555555555555556,15784,45,45,0,0,264
155.1923450868550687,4788615,126.2313747084736978,3897015,30872,30856,-28.6955717161223297,-883881,266
155.5668965070732576,4805617,139.5857754149377593,4305942,30848,30891,-16.0789644432909421,-495618,267
150.9449042247880932,4523215,150.943836347860909,4523183,29966,29966,-0.00106787692718414203,-32,269
80.2602967510872346,627475,76.7111252383979657,603333,7865,7818,,,272
,,79,79,1,0,,,275
262.0569701773506391,2644941,206.2041629319788866,2070496,10041,10093,-56.6812113966925682,-568966,277
204.3955166194279825,2379777,172.4644275600069073,1997483,11582,11643,-32.8404007254512479,-380259,278
126.0314905528341498,4682574,101.3696332254584682,3758786,37080,37154,-24.7563587322993931,-917842,281
123.4450664136622391,2602222,123.442578625302405,2602293,21081,21080,-0.01389943074003795066,-293,283
181.3034625322997416,5262333,163.0473321858864028,4736525,29050,29025,-17.9137770417141083,-519195,286
109.9497467071935157,1085204,59.8072789943227899,589939,9864,9870,-49.7046034500357252,-486956,287
147.6650048638132296,1214397,139.0689864947073853,1143008,8219,8224,-8.615038325830393,-70807,288
187.1002470543519574,1969043,176.0987442922374429,1851150,10512,10524,-11.1594520026638759,-117297,289
44.9102973703612681,182740,152.9449152542372881,613615,4012,4069,,,291
112.1278143687822085,4068782,112.0870835285363904,4067304,36287,36287,-0.04073084024581806156,-1478,308
117.9302278275020342,1159490,53.9016410048622366,532117,9872,9832,-63.1010649191071063,-616245,313
181.4962807274056474,9930569,172.2634844519281805,9411960,54637,54715,-9.0858575690466168,-496424,316
195.3343108504398827,7526817,165.6536478675206999,6362094,38406,38533,-31.3384711844923977,-1199574,317
155.1460478359908884,13621823,166.6414069038256503,14535630,87227,87800,-0.32146747202693335974,-25972,318
127.2893394108442751,5613078,175.4985835057109452,7805475,44476,44097,11.8806178882461382,373788,319
185.9731301827550117,9239889,165.3347799757771498,8190685,49540,49684,-21.054650222401941,-1041363,320
114.2912203687445127,1301777,96.2564596654112289,1098960,11417,11390,-17.6322671850150203,-199562,324
176.3189864846805591,19790572,168.0336458907887479,18887990,112406,112243,-7.9555831110556036,-891797,325
171.761712517526471,7105095,140.9732093381839208,5851375,41507,41366,-33.7835164567447073,-1386712,326
143.053299268786891,1623798,126.3632255206025698,1426009,11285,11351,-21.3075350986315977,-239795,327
169.9878309572301426,3338561,173.6041403685937894,3438230,19805,19640,5.0942114136821131,99709,328
114.7533351483800708,1685956,96.417718869898849,1382148,14335,14692,-65.1924844863249828,-567305,329
192.3954924874791319,3457347,190.0351160331682342,3414741,17969,17970,-2.3629027770048417,-42459,331
